USER ID,POP_rate,ROCK_rate,TECHNO_rate,SONGS_LISTENED,SONGS_RECOMMENDED
1933171834312,0,0,0,TITLE: Dear Future Husband,TITLE: All The Right Moves,TITLE: Some Nights,TITLE: Attention,TITLE: Turn Up the Music,TITLE: Body Say,TITLE: Really Don't Care,TITLE: Mama,TITLE: Want To,TITLE: On My Mind
1933171834632,0,0,0,TITLE: Dog Days Are Over,TITLE: Toothbrush,TITLE: Stereo Hearts (feat. Adam Levine),TITLE: Never Be the Same - Radio Edit,TITLE: First Time,TITLE: Easy Love,TITLE: Despacito - Remix,TITLE: All About That Bass,TITLE: Hands To Myself,TITLE: Booty
1933171835144,0,0,0,TITLE: Don't,TITLE: Capital Letters,TITLE: IDGAF,TITLE: You Da One,TITLE: Wake Me Up,TITLE: Teenage Dream,TITLE: Loca,TITLE: Out Of The Woods,TITLE: Blurred Lines,TITLE: Don't Stop the Party (feat. TJR)
1933171835336,0,0,0,TITLE: Came Here for Love,TITLE: Burn,TITLE: Move,TITLE: Beauty And A Beat,TITLE: I Wanna Go,TITLE: Tonight Tonight,TITLE: Only Girl (In The World),TITLE: International Love,TITLE: Sexy Bitch (feat. Akon),TITLE: Take Back the Night
1933171835912,0,0,0,TITLE: Maps,TITLE: Love Me Again,TITLE: Right Now - Dyro Radio Edit,TITLE: Baby,TITLE: PILLOWTALK,TITLE: Malibu,TITLE: This Town,TITLE: I Know What You Did Last Summer,TITLE: OMG (feat. will.i.am),TITLE: Hall of Fame
1933171835976,0,0,0,TITLE: All I Ask,TITLE: Bad Romance,TITLE: Marry You,TITLE: One Call Away (feat. Tyga) - Remix,TITLE: Love Yourself,TITLE: You Da One,TITLE: Party Rock Anthem,TITLE: Lights - Single Version,TITLE: Talk (feat. Disclosure),TITLE: Love Runs Out
1933171836360,0,0,0,TITLE: Chained To The Rhythm,TITLE: Uptown Funk,TITLE: Try Sleeping with a Broken Heart,TITLE: Steal My Girl,TITLE: Mark My Words,TITLE: Diamonds,TITLE: Lips Are Movin,TITLE: When We Were Young,TITLE: It's On Again - Main Soundtrack,TITLE: California Gurls
1933171836872,0,0,0,TITLE: Sorry,TITLE: Please Don't Go,TITLE: Paris,TITLE: Thrift Shop (feat. Wanz),TITLE: Wings,TITLE: Keeping Your Head Up,TITLE: Say Something,TITLE: Sweet Nothing (feat. Florence Welch),TITLE: Dynamite,TITLE: Sugar
1933171837064,0,0,0,TITLE: Company,TITLE: Freak,"TITLE: Ooh La La (from ""The Smurfs 2"")",TITLE: Rich Love (with Seeb),TITLE: Cold Water (feat. Justin Bieber & M?,TITLE: Without You (feat. Usher),TITLE: I Like It,TITLE: Yeah 3x,TITLE: Bloodstream,TITLE: Starving
1933171837640,0,0,0,TITLE: Behind Your Back,TITLE: Kissing Strangers - Remix,TITLE: Cannonball,TITLE: It Ain't Me (with Selena Gomez),TITLE: Night Changes,TITLE: Team,TITLE: Telephone,TITLE: Beautiful Birds (feat. Birdy),TITLE: Tell Me You Love Me - NOTD Remix,TITLE: I Luh Ya Papi
1933171838152,0,0,0,TITLE: Anything Could Happen,TITLE: People Like Us,TITLE: Shot Me Down (feat. Skylar Grey) - Radio Edit,"TITLE: Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",TITLE: Love On Top,TITLE: Close,TITLE: It Will Rain,TITLE: Work Bitch,TITLE: What About Us,TITLE: The Greatest
1933171838088,0,0,0,TITLE: Let Me Love You (Until You Learn To Love Yourself),TITLE: Clown,TITLE: Thrift Shop (feat. Wanz),TITLE: Sheezus,"TITLE: Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",TITLE: Kiss You,TITLE: First Time,TITLE: Cheap Thrills,"TITLE: Me, Myself & I",TITLE: Feel This Moment (feat. Christina Aguilera)
1933171838792,0,0,0,TITLE: Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,TITLE: Boyfriend,TITLE: Made In The USA,TITLE: Teenage Dream,"TITLE: Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",TITLE: Truth Hurts,TITLE: Anywhere,TITLE: Sheezus,TITLE: Finally Found You,TITLE: Him & I (with Halsey)
1933171839496,0,0,0,TITLE: Heartbeat Song,TITLE: Alive,TITLE: Call Me Maybe,TITLE: Little Lies,TITLE: Dear Future Husband,TITLE: Wrecking Ball,TITLE: These Days,TITLE: Written in the Stars (feat. Eric Turner),TITLE: The Greatest,TITLE: Do You Wanna Come Over?
1933171839112,0,0,0,TITLE: Imma Be,"TITLE: Happy - From ""Despicable Me 2""",TITLE: We Can't Stop,TITLE: Blurred Lines,TITLE: Muny - Album Version (Edited),TITLE: G.U.Y.,TITLE: Tell Me You Love Me - NOTD Remix,TITLE: International Love,TITLE: Without You (feat. Usher),TITLE: Feel This Moment (feat. Christina Aguilera)
1933171839944,0,0,0,TITLE: Someone Like You,TITLE: Lust for Life (with The Weeknd),TITLE: We Can't Stop,TITLE: Million Reasons,TITLE: I Don't Care (with Justin Bieber),TITLE: Kill Em With Kindness,TITLE: Lips Are Movin,TITLE: Remember I Told You,TITLE: Wrecking Ball,TITLE: A Little Party Never Killed Nobody (All We Got)
1933171840456,0,0,0,TITLE: Wide Awake,TITLE: Kissing Strangers - Remix,TITLE: I Don抰 Wanna Live Forever (Fifty Shades Darker),TITLE: I'm Not The Only One,TITLE: The Way,TITLE: Bad Romance,TITLE: Find U Again (feat. Camila Cabello),TITLE: Team,TITLE: St Jude,TITLE: Anywhere
1933171840584,0,0,0,TITLE: Love Somebody,"TITLE: Let Me Go (with Alesso, Florida Georgia Line & watt)","TITLE: Happy - From ""Despicable Me 2""",TITLE: Lips Are Movin,TITLE: Dance Again,TITLE: Next To Me,TITLE: Mama,TITLE: OMG (feat. will.i.am),TITLE: Perfect Duet (Ed Sheeran & Beyonc?,TITLE: I Don抰 Wanna Live Forever (Fifty Shades Darker)
