USER ID,POP_rate,ROCK_rate,TECHNO_rate,SONGS_LISTENED,SONGS_RECOMMENDED
2368752139336,90.0,0,10.0,TITLE: Judas,TITLE: Marry The Night,TITLE: Wolves,TITLE: Drip (feat. Migos),TITLE: Love On The Brain,TITLE: The Heart Wants What It Wants,TITLE: All Around The World (La La La),TITLE: My House,TITLE: All I Ask,TITLE: Love Me Harder,TITLE: #SELFIE,TITLE: Heartbreaker,TITLE: Focus,TITLE: Misery
2368752139464,80.0,20.0,0,TITLE: A L I E N S,TITLE: Come & Get It,TITLE: Pep Rally,TITLE: Baby Don't Lie,TITLE: Marry The Night,TITLE: Wild Thoughts (feat. Rihanna & Bryson Tiller),TITLE: Dance Again,TITLE: La La La (Brasil 2014) (feat. Carlinhos Brown),TITLE: Walk On Water (feat. Beyonc?,TITLE: Blurred Lines,TITLE: Beauty And A Beat,TITLE: Take Back the Night,TITLE: Best Thing I Never Had,TITLE: Overdose,TITLE: All of Me
2368752139656,100.0,0,0,"TITLE: Ooh La La (from ""The Smurfs 2"")",TITLE: Same Old Love,TITLE: Yeah 3x,TITLE: We Are Here,TITLE: Touch (feat. Kid Ink),TITLE: Strip That Down (feat. Quavo),TITLE: On My Mind,TITLE: Sing,TITLE: These Days,TITLE: Walks Like Rihanna,TITLE: Diamonds,TITLE: Wherever I Go,TITLE: Team,TITLE: Call You Mine,TITLE: St Jude
2368752140104,80.0,0,20.0,TITLE: Beautiful Birds (feat. Birdy),TITLE: Burn,TITLE: Whataya Want from Me,TITLE: OMG (feat. will.i.am),TITLE: Run the World (Girls),TITLE: Anaconda,TITLE: Lose Yourself to Dance,TITLE: Blame,TITLE: Bang My Head (feat. Sia & Fetty Wap),TITLE: My House,TITLE: Dear Future Husband,TITLE: IDGAF,TITLE: Sign of the Times,TITLE: Turn Up the Music,"TITLE: Hold On, We're Going Home"
2368752140232,80.0,10.0,10.0,TITLE: Give It 2 U,TITLE: Anaconda,TITLE: Wild Thoughts (feat. Rihanna & Bryson Tiller),TITLE: Cannonball,TITLE: Closer,TITLE: Runnin' (Lose It All),TITLE: This Town,TITLE: I Got You,TITLE: Mama,TITLE: The One That Got Away,TITLE: One More Night,TITLE: Young Girls,TITLE: If I Had You,TITLE: Beauty And A Beat
2368752141000,90.0,10.0,0,TITLE: Where Have You Been,TITLE: Love,TITLE: Someone Like You,TITLE: PILLOWTALK,"TITLE: Love Me Like You Do - From ""Fifty Shades Of Grey""",TITLE: Slow Hands,TITLE: Loca,TITLE: Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,TITLE: Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verr鋞er,TITLE: Not About Angels,TITLE: Take Back the Night,TITLE: Look What You Made Me Do,TITLE: I Luh Ya Papi,TITLE: Roar
2368752140872,90.0,0,10.0,TITLE: Just Can抰 Get Enough,TITLE: Starships,TITLE: Champagne Problems,TITLE: Don't You Worry Child - Radio Edit,TITLE: Roar,TITLE: It's On Again - Main Soundtrack,TITLE: Lust for Life (with The Weeknd),TITLE: Let Me Be Your Lover,TITLE: Next To Me,TITLE: Rather Be (feat. Jess Glynne),TITLE: Loca,TITLE: Your Love Is My Drug,TITLE: Rockabye (feat. Sean Paul & Anne-Marie),TITLE: Dark Horse
2368752141256,80.0,0,20.0,TITLE: NO,TITLE: Supplies,TITLE: Free Me,TITLE: Roses,TITLE: Reality - Radio Edit,TITLE: I Knew You Were Trouble.,TITLE: How Deep Is Your Love,TITLE: Let Me,TITLE: Empire State of Mind (Part II) Broken Down,TITLE: Trampoline (with ZAYN),TITLE: Locked Out of Heaven,TITLE: Final Song,TITLE: Rise,TITLE: Tonight (I'm Fuckin' You),TITLE: Reality (feat. Janieck Devy) - Radio Edit
2368752141768,70.0,10.0,20.0,TITLE: Broken Arrows,TITLE: Raise Your Glass,TITLE: I Luh Ya Papi,TITLE: Story of My Life,TITLE: Don't Be so Hard on Yourself,TITLE: Takeaway,TITLE: Dear Future Husband,TITLE: Marry The Night,TITLE: Here,TITLE: Heroes (we could be),TITLE: Only Love Can Hurt Like This,TITLE: Firework,"TITLE: I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",TITLE: Too Good
2368752141896,90.0,0,10.0,TITLE: La La La (Brasil 2014) (feat. Carlinhos Brown),TITLE: Bad Romance,TITLE: Like I'm Gonna Lose You (feat. John Legend),TITLE: S&M Remix,TITLE: Ferrari,TITLE: Finally Found You,TITLE: What the Hell,TITLE: Reality - Radio Edit,TITLE: I Don't Care (with Justin Bieber),TITLE: Want to Want Me,TITLE: Maps,TITLE: Electric Love,TITLE: Diamonds,TITLE: Final Song
2368752141832,100.0,0,0,TITLE: The Time (Dirty Bit),TITLE: Don't Be so Hard on Yourself,TITLE: Perfect Duet (Ed Sheeran & Beyonc?,TITLE: Genie In a Bottle,TITLE: Diamonds,TITLE: OK - Spotify Version,TITLE: Doesn't Mean Anything,TITLE: FourFiveSeconds,TITLE: Wait,TITLE: Muny - Album Version (Edited),TITLE: Let Me,TITLE: Messin' Around,TITLE: Ferrari,TITLE: Sexy Bitch (feat. Akon),TITLE: Only Girl (In The World)
2368752142344,100.0,0,0,TITLE: Anything Could Happen,TITLE: Drunk in Love,TITLE: If I Had You,TITLE: Jealous - Remix,TITLE: WTF (Where They From),TITLE: What Lovers Do (feat. SZA),TITLE: Pep Rally,TITLE: The Edge Of Glory,TITLE: I'm Not The Only One,TITLE: Good Time,TITLE: Club Can't Handle Me (feat. David Guetta),TITLE: Brave,TITLE: Like A G6,TITLE: Dangerous Woman,TITLE: XO
2368752142408,90.0,10.0,0,TITLE: Wait,TITLE: I'll Show You,TITLE: The Hills,TITLE: Do You Wanna Come Over?,TITLE: Don't Be A Fool,TITLE: That's What I Like,TITLE: Dance Again,TITLE: Loca,TITLE: A Little Party Never Killed Nobody (All We Got),TITLE: Cold Water (feat. Justin Bieber & M?,TITLE: Don't Let Me Down,TITLE: Beautiful People (feat. Khalid),TITLE: She Looks So Perfect,TITLE: human
2368752142856,80.0,10.0,10.0,TITLE: I Feel It Coming,TITLE: Runnin' (Lose It All),TITLE: It Will Rain,TITLE: Electric Love,TITLE: Let Me Be Your Lover,TITLE: Let Me,TITLE: 2U (feat. Justin Bieber),TITLE: Everybody Talks,TITLE: Younger Now,TITLE: Easy Love,TITLE: no tears left to cry,TITLE: #SELFIE,TITLE: Shallow - Radio Edit,TITLE: Drip (feat. Migos)
2368752143112,80.0,0,20.0,TITLE: Alejandro,TITLE: Higher Love,TITLE: In the Name of Love,TITLE: Hard,TITLE: Shout Out to My Ex,TITLE: Let Her Go,TITLE: When We Were Young,TITLE: Only Girl (In The World),TITLE: Shot Me Down (feat. Skylar Grey) - Radio Edit,TITLE: Sexy And I Know It,TITLE: One Kiss (with Dua Lipa),TITLE: A Little Party Never Killed Nobody (All We Got),TITLE: Tonight (I'm Fuckin' You),TITLE: Shot Me Down (feat. Skylar Grey) - Radio Edit,TITLE: Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
2368752143496,80.0,0,20.0,TITLE: 24K Magic,TITLE: Cheap Thrills,TITLE: Set Fire to the Rain,TITLE: Waves - Robin Schulz Radio Edit,TITLE: We R Who We R,TITLE: Dog Days Are Over,TITLE: Time of Our Lives,TITLE: The Heart Wants What It Wants,TITLE: Sexy And I Know It,TITLE: Written in the Stars (feat. Eric Turner),TITLE: Love,TITLE: 1+1,TITLE: Uptown Funk,TITLE: Wherever I Go,TITLE: Runnin' (Lose It All)
2368752143624,90.0,0,10.0,TITLE: Tonight Tonight,TITLE: Best Song Ever,TITLE: Treasure,TITLE: Feel This Moment (feat. Christina Aguilera),TITLE: Uptown Funk,TITLE: The Feeling,TITLE: Came Here for Love,TITLE: A Little Party Never Killed Nobody (All We Got),TITLE: Party Rock Anthem,TITLE: DJ Got Us Fallin' In Love (feat. Pitbull),TITLE: Roses,TITLE: Rock N Roll,TITLE: Some Nights,TITLE: #thatPOWER
